Car_Name,Year,Present_Price,Selling_Price,Driven_kms,Fuel_Type,Transmission,Owner
Swift,2012,24.9,13.54,120178,Diesel,Manual,0
Creta,2011,21.77,18.44,36904,Diesel,Manual,1
Creta,2010,4.58,2.57,77468,Petrol,Manual,0
Creta,2015,23.79,15.5,42543,Diesel,Automatic,2
i20,2016,24.47,21.53,51299,Diesel,Automatic,2
Swift,2016,18.66,15.68,102180,Petrol,Manual,0
Verna,2016,4.14,3.02,106756,Diesel,Automatic,0
Fortuner,2021,20.62,16.28,129207,Diesel,Manual,2
City,2011,9.05,5.77,21226,Petrol,Manual,0
Creta,2017,5.54,3.86,134217,Petrol,Manual,0
Creta,2013,24.22,18.57,145971,Diesel,Automatic,0
Swift,2019,17.46,12.12,33470,Diesel,Automatic,2
Fortuner,2015,14.09,10.12,93149,Diesel,Automatic,0
City,2013,18.44,14.81,135048,Petrol,Manual,0
Baleno,2011,15.71,8.28,81130,Petrol,Automatic,0
City,2019,23.4,20.13,75397,Petrol,Automatic,2
City,2020,21.02,18.06,52994,Petrol,Manual,0
Baleno,2022,24.17,12.26,144711,Diesel,Manual,2
Verna,2010,4.74,3.22,60128,Petrol,Manual,1
Verna,2014,24.19,17.2,95805,Diesel,Automatic,1
Verna,2014,11.31,6.96,104024,Diesel,Automatic,1
Verna,2016,16.01,11.39,99962,Diesel,Automatic,1
i20,2013,19.72,16.8,35558,Diesel,Manual,2
Fortuner,2013,6.65,3.73,34964,Diesel,Automatic,1
Verna,2015,14.62,7.65,43272,Petrol,Manual,0
City,2011,11.63,9.58,67302,Diesel,Manual,1
Fortuner,2018,13.62,6.92,20541,Petrol,Manual,1
Baleno,2011,10.62,6.76,52090,Petrol,Manual,0
Swift,2014,23.94,14.88,114324,Diesel,Manual,2
i20,2012,8.94,7.21,47219,Petrol,Manual,0
Fortuner,2022,10.04,5.36,114089,Petrol,Automatic,1
Baleno,2014,4.26,2.62,27759,Diesel,Manual,0
Swift,2020,7.74,4.94,62085,Diesel,Automatic,0
Innova,2022,10.59,6.57,29801,Petrol,Automatic,2
i20,2014,17.37,14.97,77414,Diesel,Manual,2
Fortuner,2019,22.92,15.13,74947,Petrol,Automatic,2
Creta,2011,15.94,9.45,92479,Diesel,Automatic,1
Verna,2017,23.52,18.63,128684,Petrol,Automatic,1
i20,2011,22.79,13.6,30784,Diesel,Manual,1
Fortuner,2022,7.46,5.41,56280,Petrol,Manual,2
Fortuner,2018,4.3,3.53,6036,Diesel,Automatic,2
Verna,2014,12.12,8.89,39811,Diesel,Manual,0
Fortuner,2013,13.18,11.6,73124,Petrol,Manual,1
Swift,2021,19.17,16.04,69957,Petrol,Manual,2
Verna,2022,17.7,13.38,22456,Petrol,Automatic,1
City,2018,12.24,7.46,52648,Diesel,Automatic,2
Swift,2011,4.89,3.22,129693,Diesel,Automatic,1
Creta,2014,11.9,9.37,65941,Diesel,Manual,0
i20,2013,8.6,5.17,61808,Diesel,Automatic,0
Fortuner,2014,12.51,7.01,51702,Diesel,Automatic,0
Innova,2010,14.92,8.33,114094,Petrol,Manual,2
i20,2022,17.75,9.72,121191,Petrol,Manual,2
Verna,2021,18.86,14.81,108919,Petrol,Manual,1
Swift,2012,16.71,11.9,48028,Diesel,Automatic,2
Verna,2010,15.09,10.75,145543,Petrol,Automatic,1
i20,2015,14.94,10.44,8905,Petrol,Manual,0
City,2013,8.05,4.61,77232,Petrol,Automatic,2
Creta,2010,23.12,14.02,139145,Diesel,Automatic,2
i20,2016,5.78,3.82,82305,Diesel,Automatic,2
i20,2019,12.28,9.18,103857,Petrol,Automatic,0
Innova,2011,8.45,6.79,138355,Petrol,Automatic,2
Verna,2020,4.75,2.81,80613,Diesel,Automatic,1
Fortuner,2014,16.39,11.67,148832,Diesel,Manual,0
Baleno,2020,16.96,11.52,68709,Diesel,Manual,1
Swift,2017,24.74,17.39,85781,Diesel,Automatic,0
Fortuner,2012,8.61,4.32,70038,Petrol,Manual,1
Fortuner,2013,18.06,15.87,140972,Diesel,Manual,1
Verna,2014,24.1,19.97,111820,Diesel,Automatic,0
i20,2012,20.79,14.06,137695,Petrol,Manual,1
Verna,2015,11.74,6.59,32707,Diesel,Automatic,2
Baleno,2016,4.85,3.61,81243,Diesel,Automatic,0
i20,2017,15.7,13.57,73623,Diesel,Manual,2
Fortuner,2013,22.13,12.59,48043,Diesel,Manual,0
Baleno,2017,6.67,5.24,96100,Petrol,Automatic,2
Innova,2010,18.18,13.2,117856,Petrol,Automatic,2
Fortuner,2014,8.54,4.51,32857,Petrol,Manual,2
Creta,2014,19.32,14.36,37725,Diesel,Manual,0
Baleno,2012,7.21,3.71,78264,Petrol,Manual,1
Creta,2019,6.36,4.99,100966,Petrol,Manual,1
City,2012,19.22,14.9,14381,Diesel,Manual,1
Baleno,2017,17.53,9.1,42306,Petrol,Automatic,0
Creta,2020,24.56,18.64,28950,Petrol,Automatic,2
Swift,2014,7.6,4.54,134097,Diesel,Automatic,2
Fortuner,2019,12.99,10.49,44666,Diesel,Automatic,0
Baleno,2017,24.76,20.22,121177,Diesel,Automatic,0
Innova,2015,5.74,4.17,140483,Petrol,Automatic,0
Baleno,2022,17.15,11.05,100355,Diesel,Manual,1
City,2010,19.0,12.98,16052,Petrol,Manual,2
Swift,2019,8.73,4.78,135816,Diesel,Manual,0
Innova,2018,4.92,4.41,20060,Diesel,Automatic,0
Baleno,2020,4.0,2.92,118398,Petrol,Automatic,2
Swift,2012,8.62,5.88,39858,Diesel,Manual,2
i20,2018,21.93,13.21,43752,Petrol,Automatic,0
Fortuner,2016,24.77,17.81,80964,Diesel,Manual,2
Swift,2020,19.41,12.89,11078,Diesel,Automatic,1
i20,2011,20.51,15.91,59442,Diesel,Automatic,2
Innova,2017,17.74,11.09,28881,Petrol,Manual,1
Creta,2011,24.63,21.25,137005,Diesel,Automatic,2
City,2021,22.33,13.88,147347,Diesel,Manual,1
Innova,2012,14.38,11.15,25510,Petrol,Automatic,0
City,2014,24.65,19.08,35120,Petrol,Automatic,1
i20,2016,22.0,16.79,94018,Diesel,Automatic,2
Verna,2015,16.91,9.9,109443,Diesel,Automatic,0
Swift,2016,24.21,19.46,135323,Petrol,Automatic,1
Verna,2016,7.33,5.51,76779,Diesel,Automatic,1
Baleno,2018,23.09,20.41,134032,Petrol,Manual,1
Fortuner,2020,12.61,9.94,107913,Diesel,Manual,1
Creta,2021,19.32,14.78,135808,Diesel,Manual,1
Fortuner,2015,20.0,13.89,86896,Petrol,Manual,2
Verna,2021,6.24,3.62,145943,Diesel,Automatic,1
City,2017,14.55,12.45,17627,Petrol,Manual,1
i20,2019,12.54,9.07,126523,Diesel,Manual,2
Verna,2021,17.65,13.53,118893,Diesel,Automatic,1
Swift,2011,20.1,14.44,89105,Diesel,Automatic,2
Innova,2017,14.6,11.46,5562,Diesel,Automatic,1
i20,2016,8.01,6.72,47739,Diesel,Automatic,2
Baleno,2020,13.37,11.79,25952,Petrol,Manual,0
Swift,2014,11.78,8.46,10605,Diesel,Manual,2
Fortuner,2019,7.89,6.77,35036,Petrol,Automatic,2
Creta,2019,12.07,9.58,110783,Diesel,Automatic,1
Swift,2014,10.57,5.6,42837,Diesel,Automatic,2
City,2020,17.39,9.3,97256,Diesel,Manual,1
City,2021,6.89,5.0,65969,Petrol,Manual,2
Verna,2021,8.86,5.16,112250,Diesel,Automatic,1
City,2016,5.81,2.93,129678,Petrol,Automatic,0
Innova,2016,16.5,10.71,96652,Petrol,Automatic,2
Baleno,2011,14.89,12.57,108919,Diesel,Automatic,2
Swift,2010,13.7,9.56,104852,Diesel,Manual,1
Innova,2012,3.74,2.32,22778,Diesel,Automatic,0
Baleno,2019,7.75,5.81,102486,Petrol,Automatic,1
Swift,2018,8.41,6.69,55542,Petrol,Automatic,1
i20,2011,22.27,15.7,83549,Petrol,Automatic,1
Fortuner,2017,5.39,3.59,75792,Petrol,Automatic,1
Swift,2020,10.39,6.7,130924,Diesel,Manual,2
Baleno,2020,5.28,2.97,146344,Diesel,Automatic,2
Fortuner,2011,8.96,5.57,29769,Diesel,Manual,1
i20,2010,6.4,4.0,26524,Diesel,Manual,2
Innova,2020,8.98,5.24,78906,Diesel,Automatic,0
Baleno,2022,10.73,6.17,33720,Petrol,Manual,1
Swift,2013,19.91,12.96,112931,Diesel,Automatic,0
Fortuner,2019,5.48,2.88,95354,Diesel,Manual,1
Innova,2010,4.08,2.23,116752,Petrol,Manual,0
Baleno,2012,17.06,8.74,81264,Petrol,Manual,1
